Date,Merchant,Category,Description,Amount
05-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-2180.96
20-04-2026,Swiggy,Food,Swiggy transaction,-4697.08
10-03-2026,Electricity Board,Bills,Electricity Board transaction,-3287.99
19-03-2026,Fuel Station,Fuel,Fuel Station transaction,-2145.65
03-01-2026,Fuel Station,Fuel,Fuel Station transaction,-127.52
03-02-2026,Netflix,Entertainment,Netflix transaction,-654.93
24-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-4519.13
26-03-2026,Netflix,Entertainment,Netflix transaction,-2531.94
09-06-2026,Myntra,Shopping,Myntra transaction,-3303.69
25-04-2026,Uber,Travel,Uber transaction,-3319.53
07-01-2026,Amazon,Shopping,Amazon transaction,-1258.88
04-02-2026,Fuel Station,Fuel,Fuel Station transaction,-2742.41
27-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-1529.83
07-05-2026,Netflix,Entertainment,Netflix transaction,-186.34
06-03-2026,Fuel Station,Fuel,Fuel Station transaction,-2286.96
10-04-2026,Zomato,Food,Zomato transaction,-2094.93
06-03-2026,Zomato,Food,Zomato transaction,-2788.78
09-03-2026,Flipkart,Shopping,Flipkart transaction,-1520.72
19-05-2026,Amazon,Shopping,Amazon transaction,-695.04
21-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-2052.78
15-06-2026,Zomato,Food,Zomato transaction,-2880.8
04-05-2026,Fuel Station,Fuel,Fuel Station transaction,-1143.43
14-06-2026,Swiggy,Food,Swiggy transaction,-4235.31
17-04-2026,Amazon,Shopping,Amazon transaction,-1991.92
30-03-2026,Fuel Station,Fuel,Fuel Station transaction,-4118.06
16-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-1513.56
17-01-2026,Myntra,Shopping,Myntra transaction,-3530.21
16-05-2026,Amazon,Shopping,Amazon transaction,-2242.71
14-05-2026,Uber,Travel,Uber transaction,-616.61
01-04-2026,Salary,Income,Salary transaction,31901
02-04-2026,Swiggy,Food,Swiggy transaction,-3987.54
06-02-2026,Zomato,Food,Zomato transaction,-930.47
23-04-2026,Electricity Board,Bills,Electricity Board transaction,-2842.49
04-05-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-701.65
16-04-2026,Uber,Travel,Uber transaction,-2635.14
03-02-2026,Electricity Board,Bills,Electricity Board transaction,-2154.82
30-06-2026,Flipkart,Shopping,Flipkart transaction,-2409.36
13-02-2026,Zomato,Food,Zomato transaction,-2804.75
23-06-2026,Salary,Income,Salary transaction,75313
18-02-2026,Uber,Travel,Uber transaction,-76.42
21-04-2026,Zomato,Food,Zomato transaction,-4695.67
18-05-2026,Zomato,Food,Zomato transaction,-1283.84
03-05-2026,Swiggy,Food,Swiggy transaction,-2636.69
19-06-2026,Uber,Travel,Uber transaction,-4633.82
29-06-2026,Electricity Board,Bills,Electricity Board transaction,-64.76
27-03-2026,Netflix,Entertainment,Netflix transaction,-4319.12
10-04-2026,Amazon,Shopping,Amazon transaction,-1388.38
12-05-2026,Swiggy,Food,Swiggy transaction,-1558.76
27-05-2026,Zomato,Food,Zomato transaction,-1713.84
20-01-2026,Flipkart,Shopping,Flipkart transaction,-2341.71
10-01-2026,Netflix,Entertainment,Netflix transaction,-684.76
29-01-2026,Electricity Board,Bills,Electricity Board transaction,-4727.62
14-06-2026,Uber,Travel,Uber transaction,-4972.95
05-06-2026,Electricity Board,Bills,Electricity Board transaction,-2427.2
06-02-2026,Myntra,Shopping,Myntra transaction,-4536.69
22-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1858.88
10-04-2026,Flipkart,Shopping,Flipkart transaction,-4127.52
28-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1471.64
05-06-2026,Zomato,Food,Zomato transaction,-2046.31
03-03-2026,Swiggy,Food,Swiggy transaction,-2191.89
08-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-345.92
19-03-2026,Salary,Income,Salary transaction,55786
05-06-2026,Netflix,Entertainment,Netflix transaction,-4276.33
